order_id,distance_km,traffic_level,weather,time_of_day,day_of_week,area_type,package_weight_kg,num_stops,rider_experience_years,rider_rating,vehicle_type,is_peak_hour,fuel_level_pct,delivery_time_minutes
ORD100032,1.51,Low,Clear,Night,Sun,Urban,0.76,1,0.2,4.59,Motorcycle,0,79.2,21.99
ORD100033,3.56,Severe,Rain,Night,Mon,Suburban,2.44,1,1.0,4.49,Scooter,0,41.5,47.05
ORD100034,6.74,Severe,Clear,Evening,Mon,Rural,2.79,0,9.6,4.87,Motorcycle,0,98.0,37.67
ORD100035,2.6,High,Clear,Afternoon,Sat,Suburban,1.45,3,0.3,4.08,Scooter,0,37.2,35.43
ORD100036,2.24,Medium,Rain,Night,Sun,Urban,0.72,1,2.3,3.88,Motorcycle,0,61.9,25.95
ORD100037,6.41,Low,Extreme_Heat,Afternoon,Fri,Suburban,1.83,2,0.2,4.07,Scooter,0,73.1,36.28
ORD100038,2.25,High,Rain,Evening,Sun,Urban,0.79,0,2.8,3.76,Motorcycle,1,34.4,34.39
ORD100039,9.36,Medium,Extreme_Heat,Morning,Mon,Suburban,5.83,1,0.8,4.33,Scooter,0,96.1,42.83
ORD100040,2.06,Low,Rain,Night,Tue,Urban,2.18,0,0.9,4.24,Scooter,0,29.4,23.89
ORD100041,6.72,Medium,Clear,Morning,Tue,Urban,0.89,0,1.0,4.49,Motorcycle,0,49.8,34.32
ORD100042,4.64,Low,Clear,Morning,Tue,Urban,0.69,1,0.6,3.65,Scooter,0,26.2,26.28
ORD100043,0.89,Severe,Rain,Evening,Sat,Urban,2.72,0,7.1,4.29,Motorcycle,1,88.7,30.91
ORD100044,2.37,Low,,Evening,Thu,Rural,2.66,0,5.9,4.79,Electric_Two_Wheeler,1,29.9,24.92
ORD100045,6.96,High,Rain,Evening,Mon,Urban,2.02,0,5.1,4.53,Electric_Two_Wheeler,1,13.1,50.88
ORD100046,1.48,Medium,Clear,Morning,Sun,Urban,2.11,0,0.3,3.54,Scooter,0,13.5,15.49
ORD100047,3.07,Medium,Clear,Morning,Tue,Rural,2.05,0,0.7,4.3,Motorcycle,0,47.2,14.37
ORD100048,1.53,Medium,Clear,Evening,Sat,Urban,1.09,1,2.4,4.01,Scooter,1,57.0,22.6
ORD100049,3.57,Low,Clear,Night,Thu,Urban,5.74,2,8.8,4.31,Electric_Two_Wheeler,0,13.7,21.35
ORD100050,4.95,Severe,Clear,Evening,Tue,Suburban,1.51,0,2.3,4.15,Motorcycle,0,18.4,39.65
ORD100051,4.21,High,Fog,Afternoon,Wed,Urban,0.24,1,1.0,5.0,Scooter,1,18.8,50.64
ORD100052,4.43,Severe,Clear,Night,Fri,Urban,1.06,0,4.3,4.33,Scooter,0,70.2,35.03
ORD100053,4.19,High,Clear,Afternoon,Mon,Urban,0.48,0,0.4,4.43,Scooter,0,37.0,30.55
ORD100054,3.36,Medium,Clear,Afternoon,Fri,Suburban,1.1,0,5.3,4.28,Motorcycle,1,60.6,27.47
ORD100055,6.27,Severe,Rain,Afternoon,Fri,Rural,2.07,0,9.2,4.49,Scooter,1,16.6,47.75
ORD100056,1.46,Low,Clear,Afternoon,Wed,Urban,0.25,0,8.6,4.21,Motorcycle,0,90.3,7.86
ORD100057,9.05,Low,Clear,Evening,Wed,Urban,4.28,0,0.4,4.61,Motorcycle,1,37.4,43.14
ORD100058,4.31,Low,Clear,Afternoon,Wed,Urban,2.08,2,2.0,4.14,Electric_Two_Wheeler,0,80.0,26.26
ORD100059,1.58,Medium,Clear,Afternoon,Thu,Suburban,0.9,0,2.2,4.85,Electric_Two_Wheeler,1,84.4,18.0
ORD100060,8.33,Medium,Extreme_Heat,Afternoon,Tue,Urban,0.95,1,0.5,4.5,Scooter,1,98.9,48.56
ORD100061,3.43,Low,Extreme_Heat,Morning,Sun,Suburban,1.45,0,2.0,4.24,Motorcycle,0,76.7,20.31
ORD100062,2.77,High,Clear,Evening,Mon,Urban,0.77,2,2.6,4.64,Motorcycle,0,49.9,30.74
ORD100063,1.6,Medium,Clear,Morning,Wed,Rural,0.21,0,1.0,4.5,Electric_Two_Wheeler,0,23.7,15.78
ORD100064,2.58,Low,Rain,Morning,Sat,Suburban,0.25,0,0.9,4.63,Scooter,0,14.3,24.95
ORD100065,6.46,Medium,Clear,Evening,Mon,Suburban,1.09,0,0.2,4.33,Scooter,1,89.8,31.59
ORD100066,2.16,Low,Clear,Evening,Sun,Urban,0.47,0,7.9,4.2,Scooter,1,50.2,13.26
ORD100067,6.54,High,Clear,Evening,Mon,Suburban,0.25,0,4.1,4.35,Scooter,0,77.5,36.05
ORD100068,3.08,Low,Extreme_Heat,Afternoon,Mon,Urban,4.12,0,3.6,4.1,Scooter,1,54.7,22.91
ORD100069,1.98,Severe,Clear,Night,Wed,Urban,0.84,0,0.1,4.69,Motorcycle,0,89.2,29.28
ORD100070,2.67,High,Clear,Night,Wed,Urban,1.6,0,2.4,4.89,Motorcycle,0,77.5,23.95
ORD100071,5.15,Low,Rain,Evening,Tue,Suburban,0.6,3,0.5,4.53,Motorcycle,1,17.7,42.26
ORD100072,4.43,Low,Clear,Evening,Sun,Suburban,0.3,0,2.7,4.87,Motorcycle,1,77.7,25.41
ORD100073,9.68,High,Clear,Afternoon,Wed,Urban,2.93,1,2.4,4.75,Scooter,0,34.0,52.97
ORD100074,3.18,High,Extreme_Heat,Night,Wed,Suburban,0.47,1,4.8,4.19,Electric_Two_Wheeler,0,79.6,26.45
ORD100075,6.66,High,Clear,Afternoon,Mon,Urban,0.25,2,0.7,4.63,Electric_Two_Wheeler,1,95.4,49.97
ORD100076,3.56,High,Rain,Morning,Tue,Suburban,1.97,0,0.1,3.79,Motorcycle,0,93.7,31.65
ORD100077,2.29,Low,Clear,Afternoon,Fri,Suburban,0.23,0,6.1,4.37,Electric_Two_Wheeler,1,21.3,18.36
ORD100078,1.76,Medium,Clear,Morning,Wed,Suburban,1.35,1,6.0,3.83,Scooter,0,14.9,22.61
ORD100079,3.21,Low,Clear,Night,Sat,Urban,0.88,1,1.5,4.26,Motorcycle,0,79.9,20.39
ORD100080,3.84,High,Clear,Evening,Wed,Rural,0.97,1,0.2,3.72,Scooter,0,73.9,23.17
ORD100081,8.17,Medium,Clear,Evening,Fri,Suburban,0.21,0,1.7,4.74,Scooter,0,25.9,37.06
ORD100082,9.62,Medium,Fog,Evening,Mon,Suburban,6.87,3,1.9,4.14,Scooter,1,71.6,70.81
ORD100083,9.6,Low,Clear,Afternoon,Sun,Urban,1.66,0,4.3,4.66,Motorcycle,1,11.4,48.02
ORD100084,2.45,Medium,Clear,Morning,Tue,Suburban,1.9,0,3.2,4.27,Scooter,0,66.8,15.6
ORD100085,2.14,Medium,Clear,Evening,Mon,Suburban,2.39,0,0.2,3.56,Motorcycle,0,84.9,17.85
ORD100086,2.59,High,Rain,Evening,Sun,Urban,3.39,0,3.1,4.11,Scooter,1,67.8,36.71
ORD100087,3.49,Medium,Clear,Afternoon,Thu,Urban,2.07,0,0.4,4.09,Electric_Two_Wheeler,0,15.9,24.66
ORD100088,1.26,High,Clear,Evening,Wed,Urban,3.07,1,0.2,4.29,Motorcycle,0,99.2,27.13
ORD100089,2.05,Medium,Clear,Morning,Sun,Suburban,1.39,1,1.3,4.9,Scooter,0,42.0,15.78
ORD100090,7.83,Low,Clear,Morning,Sat,Urban,1.13,0,0.2,4.97,Scooter,0,44.2,32.55
ORD100091,4.58,High,Clear,Morning,Sun,Urban,3.66,1,4.4,4.21,Motorcycle,0,17.6,36.76
ORD100092,2.72,High,Fog,Afternoon,Thu,Suburban,4.21,4,1.6,3.8,Scooter,0,25.0,47.11
ORD100093,1.34,Medium,Clear,Evening,Wed,Urban,0.5,0,2.2,4.0,Motorcycle,1,34.4,17.26
ORD100094,4.52,High,,Evening,Thu,Urban,1.76,1,2.2,4.49,Motorcycle,1,81.9,37.4
ORD100095,3.98,Medium,Clear,Afternoon,Fri,Urban,2.5,2,9.6,4.26,Scooter,1,72.3,30.7
ORD100096,2.05,Medium,Fog,Evening,Wed,Suburban,0.37,0,6.2,3.67,Scooter,0,62.5,19.8
ORD100097,5.86,Medium,Clear,Evening,Sat,Suburban,5.51,0,4.7,4.1,Motorcycle,1,87.8,33.49
ORD100098,2.8,Low,Clear,Morning,Wed,Urban,1.67,1,1.2,4.82,Scooter,0,99.8,18.94
ORD100099,4.25,Low,Clear,Morning,Thu,Rural,2.27,1,0.4,4.42,Scooter,0,44.6,24.71
ORD100100,9.54,Low,Clear,Night,Tue,Urban,0.59,0,2.2,4.32,Scooter,0,45.2,35.74
ORD100101,5.67,Medium,Clear,Evening,Thu,Rural,0.81,1,1.5,4.14,Scooter,1,76.2,32.41
ORD100102,1.61,Medium,Clear,Night,Wed,Urban,0.46,0,0.6,4.12,Scooter,0,68.0,17.88
ORD100103,5.69,Medium,Clear,Afternoon,Wed,Urban,0.81,1,0.3,4.52,Electric_Two_Wheeler,0,11.2,36.78
ORD100104,2.5,Severe,Clear,Evening,Sun,Urban,1.56,0,1.4,4.36,Motorcycle,1,69.0,31.91
ORD100105,5.17,Low,Clear,Morning,Tue,Urban,3.79,1,2.6,4.61,Motorcycle,0,74.8,30.71
ORD100106,6.62,Medium,Clear,Afternoon,Mon,Urban,1.73,0,2.5,4.52,Scooter,1,98.7,38.03
ORD100107,4.25,High,Clear,Afternoon,Tue,Suburban,0.76,1,3.7,4.31,Scooter,0,62.8,36.51
ORD100108,1.69,Low,Rain,Afternoon,Mon,Suburban,0.29,0,1.6,4.45,Motorcycle,1,71.6,21.26
ORD100109,1.02,Low,Extreme_Heat,Morning,Sat,Urban,2.15,0,1.0,4.06,Motorcycle,0,81.0,15.99
ORD100110,7.47,Low,Extreme_Heat,Afternoon,Wed,Urban,1.29,0,1.9,4.28,Scooter,0,18.6,35.82
ORD100111,8.86,Low,Fog,Morning,Sun,Urban,8.52,1,9.2,4.84,Scooter,0,76.1,47.22
ORD100112,2.41,Severe,Rain,Evening,Fri,Urban,3.23,1,0.1,4.3,Motorcycle,1,59.2,46.64
ORD100113,0.94,High,Rain,Afternoon,Fri,Suburban,3.5,0,1.9,4.21,Motorcycle,1,19.0,24.8
ORD100114,1.5,Medium,Clear,Morning,Thu,Urban,0.22,0,1.0,4.38,Scooter,0,70.3,8.54
ORD100115,2.87,High,Rain,Morning,Tue,Suburban,3.21,0,0.3,3.83,Motorcycle,0,31.1,27.63
ORD100116,6.59,High,Clear,Morning,Tue,Urban,0.63,0,1.4,4.39,Motorcycle,0,58.4,33.84
ORD100117,0.94,Low,Clear,Evening,Fri,Urban,1.96,1,2.6,4.98,Electric_Two_Wheeler,1,35.3,9.72
ORD100118,8.05,High,Rain,Morning,Mon,Urban,1.39,0,1.9,3.98,Motorcycle,0,19.4,53.41
ORD100119,7.49,Medium,Clear,Evening,Tue,Urban,1.9,1,0.1,4.41,Scooter,0,32.6,37.64
ORD100120,7.96,High,Clear,Morning,Mon,Urban,0.49,0,2.2,4.29,Motorcycle,0,49.5,41.51
ORD100121,1.95,High,Extreme_Heat,Morning,Mon,Suburban,1.42,0,0.7,4.28,Motorcycle,0,54.5,24.25
ORD100122,6.93,Medium,Clear,Night,Mon,Urban,0.28,0,1.0,4.27,Motorcycle,0,23.4,35.97
ORD100123,3.93,Low,Clear,Evening,Mon,Urban,0.28,0,0.9,,Motorcycle,0,38.9,20.6
ORD100124,1.87,Low,Extreme_Heat,Morning,Sun,Suburban,2.34,1,4.9,3.86,Electric_Two_Wheeler,0,87.3,17.23
ORD100125,4.22,Medium,Rain,Evening,Thu,Urban,6.26,1,0.1,4.58,Scooter,0,91.9,36.77
ORD100126,3.84,High,Clear,Afternoon,Thu,Suburban,3.2,2,1.1,4.33,Scooter,1,58.2,36.92
ORD100127,1.49,High,Clear,Evening,Sun,Urban,1.47,0,1.3,3.59,Motorcycle,1,54.1,22.58
ORD100128,5.53,Low,Clear,Evening,Fri,Urban,0.31,0,2.4,4.45,Scooter,0,62.3,17.46
ORD100129,3.73,Medium,Fog,Evening,Thu,Suburban,0.29,2,3.9,,Scooter,0,29.3,37.24
ORD100130,3.01,Medium,Clear,Night,Sat,Suburban,0.54,1,3.3,3.95,Scooter,0,99.4,19.48
ORD100131,2.94,Low,Clear,Morning,Sun,Urban,7.64,0,3.5,4.36,Motorcycle,0,77.1,23.19
ORD100132,4.7,Low,Clear,Evening,Tue,Urban,1.22,0,0.5,3.77,Scooter,1,31.5,29.94
ORD100133,2.8,Medium,Clear,Afternoon,Sat,Suburban,3.91,0,6.1,4.03,Motorcycle,1,34.5,24.59
ORD100134,1.05,Severe,Extreme_Heat,Morning,Sun,Urban,2.64,1,1.3,4.31,Scooter,0,68.4,34.05
ORD100135,1.81,Medium,Clear,Morning,Thu,Urban,2.06,1,0.0,3.63,Scooter,0,39.1,21.65
ORD100136,3.76,Medium,Rain,Morning,Tue,Suburban,6.11,0,2.8,3.84,Scooter,0,42.0,28.87
ORD100137,2.7,High,Clear,Evening,Tue,Suburban,0.72,1,2.3,3.9,Scooter,1,80.3,32.89
ORD100138,2.99,Medium,Rain,Evening,Mon,Suburban,1.41,0,0.3,4.33,Motorcycle,0,34.0,25.72
ORD100139,2.0,Severe,Extreme_Heat,Evening,Fri,Suburban,4.2,0,8.0,4.48,Electric_Two_Wheeler,1,73.5,31.43
ORD100140,2.01,Severe,Clear,Morning,Mon,Suburban,1.8,0,2.1,3.94,Motorcycle,0,94.1,23.72
ORD100141,5.2,Low,Clear,Afternoon,Sun,Suburban,0.77,1,1.6,3.92,Scooter,0,21.2,26.41
ORD100142,4.17,Medium,Clear,Night,Mon,Suburban,0.67,2,1.3,4.36,Motorcycle,0,23.0,33.6
ORD100143,2.19,Medium,Rain,Afternoon,Sat,Urban,3.0,1,0.6,4.34,Scooter,1,94.9,31.7
ORD100144,2.92,Low,Clear,Evening,Thu,Urban,0.23,0,7.6,4.02,Scooter,1,28.3,19.23
ORD100145,6.01,Low,Fog,Evening,Sat,Suburban,5.11,1,3.0,5.0,Motorcycle,1,11.9,37.93
ORD100146,1.76,Medium,Rain,Evening,Thu,Suburban,0.24,0,2.1,4.37,Motorcycle,0,88.2,19.27
ORD100147,6.5,Medium,Fog,Afternoon,Sat,Urban,2.19,0,2.5,4.23,Scooter,0,35.4,36.37
ORD100148,3.41,Low,Rain,Night,Tue,Urban,2.06,0,4.6,4.15,Scooter,0,36.9,18.84
ORD100149,2.95,Low,Clear,Afternoon,Thu,Rural,1.93,0,2.5,4.7,Electric_Two_Wheeler,1,30.4,18.21
ORD100150,1.54,Severe,Clear,Night,Thu,Suburban,1.49,0,0.3,4.52,Scooter,0,92.6,26.48
ORD100151,14.94,Low,Clear,Morning,Sat,Urban,4.03,0,3.0,3.6,Electric_Two_Wheeler,0,79.7,60.73
ORD100152,4.9,Low,Extreme_Heat,Afternoon,Wed,Suburban,2.35,1,2.1,4.02,Electric_Two_Wheeler,1,63.7,34.41
ORD100153,1.03,Medium,Rain,Morning,Tue,Rural,3.25,0,8.5,4.12,Motorcycle,0,50.8,12.94
ORD100154,4.31,Severe,Rain,Evening,Sun,Suburban,0.45,0,3.3,4.3,Scooter,0,22.9,34.01
ORD100155,7.42,Low,Clear,Afternoon,Tue,Suburban,0.3,1,1.1,4.55,Motorcycle,1,93.3,34.08
ORD100156,4.5,High,Clear,Morning,Sun,Urban,0.26,2,0.4,3.87,Scooter,0,77.5,35.63
ORD100157,6.11,High,Rain,Morning,Wed,Suburban,0.52,0,1.6,4.27,Scooter,0,35.1,41.15
ORD100158,2.63,Low,Clear,Night,Sat,Urban,2.4,0,2.8,4.98,Motorcycle,0,95.3,16.36
ORD100159,2.41,High,Clear,Evening,Sat,Suburban,1.56,1,0.5,4.31,Scooter,0,94.2,25.65
ORD100160,3.13,Medium,Rain,Evening,Tue,Urban,2.99,1,2.6,4.02,Scooter,1,69.4,37.12
ORD100161,3.89,Medium,,Evening,Sat,Urban,0.63,1,4.4,3.77,Motorcycle,1,98.7,39.03
ORD100162,2.67,Medium,Clear,Afternoon,Fri,Urban,1.11,1,0.4,4.11,Motorcycle,1,26.9,27.5
ORD100163,3.36,Medium,Clear,Afternoon,Fri,Urban,4.59,0,3.1,3.87,Scooter,0,75.8,20.15
ORD100164,1.82,Low,Clear,Night,Sun,Suburban,5.69,0,0.2,4.14,Scooter,0,23.7,9.3
ORD100165,1.26,High,Extreme_Heat,Morning,Wed,Rural,5.3,0,0.0,4.52,Scooter,0,72.3,22.52
ORD100166,2.22,Medium,Clear,Afternoon,Thu,Suburban,3.61,1,0.1,4.31,Scooter,1,92.8,28.99
ORD100167,10.4,Low,Clear,Afternoon,Fri,Suburban,2.53,1,2.5,4.11,Motorcycle,0,58.2,39.27
ORD100168,7.78,Low,Clear,Afternoon,Sun,Urban,5.1,1,9.1,3.58,Motorcycle,0,78.7,32.86
ORD100169,4.38,Medium,Rain,Afternoon,Sat,Suburban,2.7,0,3.7,4.63,Motorcycle,0,22.9,26.61
ORD100170,1.41,High,Clear,Afternoon,Wed,Suburban,6.36,0,0.7,4.16,Scooter,0,67.0,16.26
ORD100171,3.54,Low,Clear,Morning,Sun,Suburban,0.25,1,0.2,4.34,Scooter,0,15.7,22.83
ORD100172,4.1,Medium,Clear,Afternoon,Sun,Urban,5.29,0,2.4,3.94,Scooter,1,13.3,31.49
ORD100173,2.56,Low,Clear,Morning,Fri,Suburban,1.82,0,0.0,4.14,Scooter,0,67.1,13.8
ORD100174,8.07,Medium,Clear,Morning,Mon,Suburban,0.44,0,3.9,4.07,Scooter,0,61.6,39.54
ORD100175,1.77,Low,Fog,Morning,Wed,Urban,0.68,0,0.7,3.77,Scooter,0,39.6,21.35
ORD100176,5.2,High,Fog,Evening,Tue,Suburban,4.02,3,0.9,3.94,Scooter,0,56.2,45.73
ORD100177,1.74,Medium,Clear,Afternoon,Sun,Rural,1.61,0,1.1,4.29,Motorcycle,1,71.6,21.22
ORD100178,1.88,Severe,Clear,Evening,Fri,Urban,8.33,2,3.6,4.42,Motorcycle,1,68.0,40.35
ORD100179,3.54,Low,Extreme_Heat,Evening,Tue,Suburban,0.45,2,0.8,4.03,Motorcycle,0,16.6,27.64
ORD100180,0.89,Medium,Clear,Evening,Wed,Suburban,1.26,0,0.8,3.82,Scooter,1,71.0,16.92
ORD100181,4.22,Low,Fog,Afternoon,Fri,Suburban,1.01,0,1.9,4.16,Electric_Two_Wheeler,1,69.4,30.5
ORD100182,2.75,Severe,Clear,Afternoon,Tue,Urban,1.65,1,1.6,4.61,Electric_Two_Wheeler,1,70.3,40.61
ORD100183,3.38,High,Extreme_Heat,Afternoon,Thu,Suburban,2.21,1,7.8,3.92,Scooter,0,86.3,36.02
ORD100184,2.37,Low,Rain,Evening,Sun,Urban,2.37,0,0.8,4.31,Motorcycle,1,61.9,23.99
ORD100185,7.94,High,Extreme_Heat,Afternoon,Thu,Urban,0.2,1,0.2,4.04,Motorcycle,1,94.4,55.02
ORD100186,6.36,High,Rain,Evening,Mon,Suburban,0.39,2,1.9,4.75,Motorcycle,0,98.2,47.8
ORD100187,5.17,Medium,Clear,Night,Sat,Suburban,0.27,0,0.5,4.1,Scooter,0,77.7,24.21
ORD100188,1.94,Medium,Extreme_Heat,Morning,Wed,Suburban,4.2,0,1.3,4.56,Motorcycle,0,42.3,17.27
ORD100189,5.56,Low,Clear,Morning,Sat,Urban,0.95,1,0.5,4.71,Motorcycle,0,22.9,32.33
ORD100190,4.55,Low,Clear,Evening,Sat,Urban,1.11,0,5.3,4.92,Scooter,1,83.8,23.73
ORD100191,13.7,High,Rain,Afternoon,Tue,Rural,1.4,0,1.0,3.76,Electric_Two_Wheeler,0,23.2,53.91
ORD100192,1.4,Severe,Rain,Morning,Mon,Urban,3.98,0,3.7,3.74,Motorcycle,0,23.2,37.4
ORD100193,3.23,Medium,Extreme_Heat,Night,Wed,Suburban,0.23,0,7.4,4.77,Scooter,0,92.7,16.57
ORD100194,2.39,Medium,Clear,Morning,Thu,Suburban,0.45,1,7.1,4.7,Motorcycle,0,60.4,21.25
ORD100195,4.65,Medium,Rain,Night,Sat,Suburban,2.51,0,1.9,4.05,Motorcycle,0,36.4,29.11
ORD100196,1.3,High,Rain,Evening,Tue,Urban,6.84,1,10.2,3.01,Scooter,0,96.7,22.78
ORD100197,5.81,High,Clear,Evening,Sat,Suburban,2.26,0,2.7,4.33,Scooter,1,73.7,35.86
ORD100198,1.29,High,Clear,Morning,Fri,Suburban,0.81,0,0.3,3.69,Electric_Two_Wheeler,0,58.1,18.17
ORD100199,4.69,High,Clear,Morning,Thu,Urban,1.67,2,5.5,3.97,Motorcycle,0,39.7,31.58
ORD100200,2.94,Medium,Clear,Afternoon,Sat,Urban,7.58,0,1.6,4.37,Scooter,0,70.9,22.84
ORD100201,2.09,Low,Extreme_Heat,Morning,Fri,Urban,1.7,0,0.4,4.43,Scooter,0,75.8,17.36
ORD100202,1.75,Low,Rain,Afternoon,Fri,Urban,1.14,2,3.9,4.93,Motorcycle,0,74.1,22.76
ORD100203,2.38,High,Rain,Afternoon,Tue,Suburban,1.17,0,2.4,4.15,Motorcycle,1,27.6,34.05
ORD100204,3.01,Medium,Extreme_Heat,Morning,Tue,Suburban,7.02,0,5.3,3.91,Scooter,0,72.8,22.34
ORD100205,3.69,Low,Clear,Morning,Fri,Rural,2.74,2,4.4,4.67,Motorcycle,0,62.3,25.32
ORD100206,3.99,Low,Fog,Evening,Mon,Suburban,2.52,0,1.0,4.45,Scooter,0,86.5,22.57
ORD100207,3.26,High,Clear,Morning,Sat,Suburban,0.73,1,0.7,4.15,Scooter,0,66.2,27.42
ORD100208,2.88,Low,Fog,Morning,Fri,Urban,1.84,0,3.3,4.31,Motorcycle,0,23.2,26.32
ORD100209,9.32,Low,Clear,Evening,Fri,Suburban,1.08,0,2.1,4.15,Scooter,1,38.7,40.89
ORD100210,5.58,Medium,Extreme_Heat,Night,Tue,Suburban,0.75,0,0.2,4.58,Electric_Two_Wheeler,0,76.9,22.86
ORD100211,2.56,High,Clear,Afternoon,Sat,Rural,4.72,0,0.5,4.98,Scooter,0,76.6,16.23
ORD100212,3.46,High,Clear,Morning,Wed,Suburban,1.17,1,0.4,4.01,Motorcycle,0,30.0,29.09
ORD100213,2.14,Low,Rain,Evening,Thu,Rural,0.86,0,2.2,4.47,Scooter,1,41.9,27.12
ORD100214,3.02,High,Clear,Night,Tue,Suburban,5.57,3,0.2,3.69,Scooter,0,11.4,35.75
ORD100215,1.49,Low,Rain,Evening,Sat,Suburban,0.64,4,0.6,3.87,Motorcycle,1,39.9,37.49
ORD100216,3.87,Medium,Clear,Evening,Sat,Urban,2.94,2,2.0,4.53,Motorcycle,1,12.4,37.36
ORD100217,11.25,High,Rain,Afternoon,Sun,Suburban,2.32,1,0.4,4.27,Motorcycle,1,88.6,66.09
ORD100218,4.02,Medium,Clear,Afternoon,Mon,Suburban,5.26,1,0.7,3.86,Motorcycle,1,70.0,34.3
ORD100219,4.01,High,Clear,Morning,Thu,Urban,3.77,0,5.9,4.3,Motorcycle,0,97.2,30.25
ORD100220,3.26,High,Clear,Evening,Tue,Urban,2.64,1,3.0,,Motorcycle,1,90.3,36.98
ORD100221,1.7,Medium,Clear,Evening,Tue,Suburban,0.96,0,0.9,3.72,Motorcycle,0,64.3,12.99
ORD100222,9.87,Low,Clear,Night,Wed,Urban,1.57,0,5.2,5.0,Motorcycle,0,55.3,38.88
ORD100223,4.28,Medium,Clear,Afternoon,Sun,Urban,5.98,0,0.7,4.53,Motorcycle,1,89.5,32.26
ORD100224,5.17,Low,Clear,Morning,Sun,Suburban,0.25,0,2.2,4.54,Electric_Two_Wheeler,0,36.9,22.8
