distance_km,package_weight_kg,num_stops,rider_experience_years,rider_rating,is_peak_hour,fuel_level_pct,delivery_time_minutes,traffic_level_Low,traffic_level_Medium,traffic_level_Severe,weather_Extreme_Heat,weather_Fog,weather_Rain,time_of_day_Evening,time_of_day_Morning,time_of_day_Night,day_of_week_Mon,day_of_week_Sat,day_of_week_Sun,day_of_week_Thu,day_of_week_Tue,day_of_week_Wed,area_type_Suburban,area_type_Urban,vehicle_type_Motorcycle,vehicle_type_Scooter
2.04,0.53,1,1.2,3.99,0,70.1,16.9,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False
6.12,4.6,0,0.6,4.49,0,77.3,35.15,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False
4.22,2.85,0,4.2,3.98,0,91.1,29.86,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
4.75,1.36,0,1.0,4.38,1,94.2,36.46,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
2.22,3.61,1,0.1,4.31,1,92.8,28.99,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2.04,0.88,0,0.2,4.66,0,88.6,14.55,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False
3.59,0.99,0,2.0,4.37,1,40.5,23.24,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True
5.46,1.3,0,0.0,4.81,0,54.9,41.32,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True
5.85,0.34,0,0.3,3.78,0,28.3,39.29,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False
1.43,1.93,1,1.2,4.15,1,30.9,30.81,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
4.21,3.0,2,0.2,4.74,0,93.5,35.07,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
2.74,1.23,1,2.7,4.22,0,35.2,22.83,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
3.49,3.24,0,0.6,4.33,0,51.4,37.21,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,True,False
3.9,2.13,1,3.7,4.73,1,27.2,26.56,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
7.34,1.59,1,0.6,3.69,0,85.1,41.69,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False
4.9,2.35,1,2.1,4.02,1,63.7,34.41,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
11.18,0.51,0,2.3,5.0,0,73.6,61.12,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True
7.48,0.9,1,1.0,4.19,0,80.0,34.74,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
2.32,1.46,1,3.9,4.05,1,24.8,34.06,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False
4.08,1.36,1,1.5,4.1,0,98.5,28.29,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True
1.27,1.11,0,2.8,4.2,0,22.4,17.62,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False
2.86,2.37,1,0.6,4.2,0,78.4,22.51,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
1.39,0.42,0,0.5,4.45,1,40.7,21.04,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
4.75,2.06,0,0.8,4.68,0,51.5,24.24,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
1.96,4.67,0,1.6,4.41,1,76.3,23.13,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True
3.2,1.27,0,0.1,4.19,1,59.2,33.09,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True
1.6,0.51,1,1.1,4.25,0,79.1,30.94,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False
1.63,1.53,1,2.6,4.53,0,96.5,8.85,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False
1.53,1.35,0,1.9,3.92,0,40.7,28.32,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
7.09,1.29,0,0.0,4.09,0,62.9,38.66,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
3.12,3.05,0,1.1,3.98,1,84.0,33.71,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
4.7,6.76,1,2.6,4.27,0,85.7,22.29,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False
8.12,5.18,2,1.5,4.37,0,26.6,52.19,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2.61,2.96,0,7.9,4.27,0,37.3,13.42,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
2.06,0.92,2,1.6,5.0,1,88.0,31.76,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True
6.29,3.79,1,0.5,3.97,0,79.1,38.36,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False
5.16,0.74,0,0.8,4.2,0,44.3,20.65,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
3.69,2.74,2,4.4,4.67,0,62.3,25.32,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
7.56,0.48,1,2.1,4.11,0,66.4,31.69,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False
2.34,6.29,1,3.3,4.35,0,88.8,24.65,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True
5.2,0.29,0,0.1,3.96,0,59.7,22.18,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
4.81,0.37,0,2.6,3.62,1,95.5,42.84,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
6.41,1.4,1,5.8,4.64,0,47.1,41.24,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False
2.36,1.81,0,2.0,4.76,0,18.0,17.55,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True
1.49,3.24,1,1.6,4.11,0,90.7,31.99,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2.33,0.98,0,0.2,4.06,0,19.9,31.23,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
2.11,0.33,3,5.2,3.74,0,19.3,31.1,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False
14.64,3.28,0,2.9,3.81,1,23.7,81.26,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True
2.56,4.72,0,0.5,4.98,0,76.6,16.23,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
5.99,0.94,0,1.0,4.19,0,13.6,29.67,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2.59,2.01,1,4.4,4.19,0,41.2,17.08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False
6.74,3.3,4,1.3,3.76,1,90.0,50.97,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
12.41,2.2,1,0.3,3.59,1,40.6,54.98,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2.77,4.0,1,4.1,4.14,0,48.7,23.88,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
2.34,1.93,1,1.3,4.06,0,42.6,29.94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0.89,1.26,0,0.8,3.82,1,71.0,16.92,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True
4.17,1.99,0,0.9,3.74,0,88.2,23.72,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False
6.43,4.66,0,3.1,5.0,0,32.7,28.46,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False
6.3,1.58,1,3.0,4.54,0,29.0,27.08,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
7.81,1.78,0,5.3,4.63,0,33.6,35.08,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False
2.46,5.45,1,4.8,4.24,1,13.8,34.41,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
1.81,0.58,0,0.4,4.36,0,64.1,17.37,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
6.38,1.31,0,4.1,4.5,0,91.4,37.11,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
3.0,3.16,0,6.0,3.82,1,48.2,27.79,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
4.56,1.08,0,0.0,4.13,0,97.6,35.86,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True
4.62,1.61,0,1.5,3.91,0,84.7,28.6,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
3.52,0.44,1,0.6,4.7,1,65.4,50.83,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
11.13,0.25,1,4.1,4.44,0,93.3,49.49,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
1.94,4.2,0,1.3,4.56,0,42.3,17.27,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
2.64,2.69,3,2.8,4.32,1,87.1,24.18,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
3.62,1.91,0,0.6,4.76,1,14.1,28.21,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
3.93,0.2,1,2.6,3.97,1,91.6,32.22,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
1.24,5.5,0,5.6,4.13,1,17.2,23.62,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
1.12,2.15,1,0.8,4.54,0,75.5,25.35,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True
4.15,1.05,1,1.4,4.04,1,14.1,39.35,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True
5.3,0.23,0,3.3,4.33,0,12.6,27.1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1.07,1.31,0,1.6,4.33,0,19.3,8.36,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True
8.86,8.52,1,9.2,4.84,0,76.1,47.22,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True
3.71,0.28,1,3.5,4.76,1,57.4,33.71,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
3.26,2.64,1,3.0,4.3,1,90.3,36.98,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
2.82,0.42,0,1.6,3.88,1,51.0,25.24,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
5.52,0.52,0,5.9,4.0,0,47.1,24.14,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2.04,1.62,2,12.3,4.4,0,43.0,15.37,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
1.29,5.54,2,2.7,3.95,0,96.9,17.24,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False
3.64,0.55,0,6.4,4.13,1,67.2,23.98,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False
4.05,3.66,2,3.7,4.25,0,64.2,32.95,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
5.71,4.37,0,2.1,3.45,0,82.8,31.45,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True
1.31,13.17,1,0.2,4.83,0,93.8,18.38,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
5.74,3.04,0,2.1,4.51,0,80.1,34.63,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
1.82,1.41,1,2.6,4.78,0,30.2,23.94,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True
3.19,1.88,0,1.1,4.53,0,91.3,24.82,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1.29,0.81,0,0.3,3.69,0,58.1,18.17,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
7.19,7.01,0,0.1,4.75,0,76.0,48.63,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
1.66,3.88,0,0.7,4.11,0,19.7,22.54,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
8.19,1.43,0,0.9,4.62,1,39.0,44.56,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True
2.9,0.49,1,1.5,4.42,1,72.0,43.55,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True
3.14,1.5,0,6.6,4.31,1,40.1,23.06,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
6.08,1.62,1,1.2,3.87,0,84.3,44.5,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True
4.69,0.84,2,2.7,4.57,0,28.5,23.51,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
2.6,1.71,0,12.5,4.39,0,52.3,34.63,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False
4.0,0.66,0,0.2,4.09,0,72.9,28.61,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,False
3.57,0.21,2,3.5,4.36,0,57.5,30.82,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False
5.85,0.66,0,1.3,3.65,0,74.4,35.4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
3.08,0.29,2,3.5,4.66,0,61.6,24.84,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
3.06,1.17,0,1.8,4.18,0,61.9,17.37,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True
12.67,1.16,0,0.1,4.25,1,22.4,59.71,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
2.06,0.46,1,2.4,4.05,0,99.2,18.11,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
5.39,7.31,1,2.0,4.16,0,50.1,39.31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False
6.93,0.24,0,0.1,4.03,1,54.6,42.5,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False
3.83,1.42,0,0.9,3.94,0,20.5,16.53,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True
0.94,3.5,0,1.9,4.21,1,19.0,24.8,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
2.19,0.96,0,0.8,4.39,0,16.6,14.37,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
2.52,1.23,2,0.7,3.71,1,16.0,32.2,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True
1.36,0.7,1,3.9,3.82,1,97.8,29.2,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
6.09,0.86,1,0.3,4.77,0,66.7,43.38,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True
2.82,0.66,0,2.8,5.0,1,77.9,28.56,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
7.45,2.98,1,1.6,4.24,0,73.8,44.4,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False
2.56,0.67,0,1.3,4.99,1,86.1,32.65,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
2.82,0.79,0,0.4,3.63,0,73.3,19.92,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False
4.09,1.21,2,0.5,4.24,0,33.5,32.11,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
5.62,1.52,0,3.7,5.0,0,77.0,29.81,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True
3.31,1.07,1,0.6,4.36,0,96.0,22.72,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
1.9,5.98,1,2.0,4.29,0,83.6,18.94,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
14.46,0.87,0,0.2,4.16,0,28.9,63.96,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False
2.07,0.99,0,2.0,4.12,0,30.4,22.09,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
5.14,3.29,0,4.4,4.92,0,95.7,25.11,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
7.62,0.59,0,0.3,4.09,0,47.6,34.72,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
4.37,0.59,0,0.4,4.91,1,62.3,26.58,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
10.57,0.55,0,8.3,4.56,0,92.6,41.13,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False
3.74,4.96,0,1.0,4.21,0,43.5,25.67,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
1.39,0.79,2,0.3,4.54,0,73.3,29.15,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
2.27,0.37,2,2.4,4.03,1,89.0,21.12,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
5.75,9.49,0,0.7,4.02,0,83.9,33.04,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True
2.96,2.81,3,0.9,3.85,0,18.3,31.09,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True
3.44,0.73,0,0.2,4.41,0,90.3,32.21,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True
7.63,0.45,0,1.0,3.71,0,98.5,41.28,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False
2.63,0.3,0,0.1,3.68,1,55.8,37.38,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
9.11,1.01,1,5.7,4.4,1,52.6,48.27,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
2.0,0.38,1,4.4,4.85,1,73.3,44.39,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False
2.06,6.23,0,2.6,4.66,1,41.6,27.29,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
2.55,0.33,3,1.6,4.33,0,61.5,26.98,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True
6.88,8.97,0,2.5,3.82,0,51.5,26.98,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False
4.31,3.84,0,1.6,4.25,0,40.6,27.47,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
9.68,2.93,1,2.4,4.75,0,34.0,52.97,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True
4.02,6.22,0,1.6,4.12,1,80.3,31.49,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,False
3.74,4.31,1,3.0,4.15,1,21.5,29.19,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
5.96,1.15,0,0.8,4.9,0,67.7,31.23,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False
3.69,0.44,1,4.5,4.41,1,56.7,39.98,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True
5.8,2.25,0,0.3,4.28,1,41.0,35.17,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True
3.32,2.67,0,2.4,4.13,0,81.7,17.83,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
2.71,0.58,1,4.0,3.97,0,56.8,19.98,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False
15.74,2.72,1,4.3,4.3,0,28.3,72.55,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False
3.01,1.96,0,5.2,4.13,1,73.8,24.05,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
2.33,0.45,0,2.4,4.35,0,20.0,27.31,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True
7.47,2.49,2,3.0,3.99,0,90.2,30.32,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
1.58,3.54,0,2.3,4.52,1,40.3,26.58,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False
2.2,6.78,0,3.1,4.22,0,83.2,35.69,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False
14.17,3.29,0,1.9,4.44,0,97.7,54.97,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
2.71,3.78,0,1.4,3.95,1,72.2,16.43,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1.44,1.23,1,3.8,4.23,1,85.8,12.63,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False
5.26,0.35,1,2.4,4.06,0,28.3,33.9,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
2.99,0.94,2,3.0,4.48,1,68.4,25.31,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
5.01,1.8,0,0.7,4.27,1,66.6,32.39,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False
9.0,1.47,0,2.1,4.12,0,36.2,43.45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
6.1,0.99,2,0.9,3.82,0,98.0,36.01,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
6.23,0.42,1,2.1,3.95,0,35.7,34.23,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True
1.05,2.98,0,2.0,4.2,0,23.7,19.07,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True
6.7,0.32,1,2.3,4.31,0,94.1,42.21,False,True,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
7.15,0.28,0,6.8,4.13,1,54.6,36.65,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True
4.35,0.56,3,1.8,3.95,0,43.5,31.8,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False
3.0,0.6,0,0.6,4.0,0,47.5,21.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
3.46,4.45,1,2.4,3.52,1,14.7,45.56,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True
