EmployeeID,Age,Gender,Department,JobRole,EducationField,MaritalStatus,BusinessTravel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TrainingTimesLastYear,Attrition
29,33,Female,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,9956.0,2,0,10.0,Yes,3,3.0,2,2,3,No
30,43,Male,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,6087.0,4,1,5.0,No,4,1.0,3,3,1,No
31,44,Male,Sales,Sales Representative,Life Sciences,Married,Travel_Rarely,7008.0,0,0,5.0,No,4,3.0,3,2,4,Yes
32,21,Female,Research & Development,Manufacturing Director,Other,Married,Travel_Rarely,11295.0,3,2,6.0,Yes,4,1.0,2,0,1,No
33,32,Male,Human Resources,HR Manager,Other,Divorced,Travel_Rarely,4103.0,13,10,1.0,No,4,3.0,3,2,5,No
34,34,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,9830.0,3,2,7.0,Yes,4,3.0,3,2,3,Yes
35,33,Male,Research & Development,Research Scientist,Marketing,Divorced,Travel_Rarely,10601.0,8,3,14.0,Yes,3,3.0,2,3,3,No
36,39,Female,Sales,Manager,Human Resources,Single,Travel_Rarely,3010.0,3,2,1.0,No,4,3.0,3,3,6,No
37,21,Male,Sales,Manager,Marketing,Single,Travel_Rarely,11853.0,0,0,12.0,Yes,2,3.0,3,3,2,Yes
38,53,Female,Sales,Sales Executive,Human Resources,Married,Travel_Rarely,10442.0,0,0,1.0,No,1,3.0,2,3,3,No
39,49,Male,Sales,Manager,Technical Degree,Divorced,Travel_Frequently,1000.0,2,1,6.0,Yes,2,4.0,4,2,1,Yes
40,37,Male,Sales,Manager,Life Sciences,Single,Non-Travel,6043.0,0,0,2.0,Yes,2,3.0,4,3,2,Yes
41,39,Male,Research & Development,Laboratory Technician,Marketing,Divorced,Travel_Rarely,9417.0,2,1,3.0,Yes,4,3.0,3,2,3,Yes
42,24,Male,Sales,Sales Representative,Medical,Single,Travel_Rarely,9101.0,0,0,30.0,No,2,2.0,1,2,4,Yes
43,27,Male,Sales,Sales Executive,Technical Degree,Married,Travel_Rarely,9636.0,9,5,3.0,No,1,2.0,3,1,2,Yes
44,36,Male,Research & Development,Laboratory Technician,Medical,Divorced,Travel_Rarely,2733.0,1,0,1.0,No,4,4.0,2,3,4,No
45,42,Female,Research & Development,Research Director,Life Sciences,Single,Travel_Rarely,10485.0,3,1,25.0,No,3,3.0,3,5,1,Yes
46,35,Female,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,6260.0,2,1,10.0,Yes,3,3.0,3,3,4,No
47,37,Female,Research & Development,Research Director,Other,Single,Travel_Frequently,12179.0,13,11,30.0,No,4,3.0,3,5,2,No
48,36,Male,Sales,Sales Executive,Medical,Single,Travel_Rarely,7619.0,2,1,1.0,No,4,1.0,3,4,5,No
49,49,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Frequently,5252.0,5,2,13.0,Yes,2,3.0,3,1,2,Yes
50,35,Female,Human Resources,Human Resources,Medical,Married,Travel_Frequently,4005.0,2,0,10.0,No,1,2.0,3,0,5,No
51,44,Male,Research & Development,Research Director,Other,Divorced,Non-Travel,9025.0,5,3,7.0,No,2,4.0,4,0,2,No
52,44,Female,Sales,Sales Representative,Marketing,Single,Travel_Rarely,4137.0,19,14,2.0,No,3,3.0,2,5,3,No
53,31,Female,Sales,Manager,Life Sciences,Single,Travel_Rarely,16404.0,5,3,3.0,Yes,4,3.0,3,1,3,Yes
54,32,Male,Sales,Sales Representative,Technical Degree,Married,Travel_Frequently,6758.0,10,9,1.0,No,4,4.0,4,3,5,No
55,51,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Rarely,1000.0,0,0,2.0,No,4,2.0,3,0,3,Yes
56,34,Male,Research & Development,Research Director,Life Sciences,Single,Travel_Rarely,6411.0,0,0,5.0,No,2,3.0,4,1,1,No
57,35,Female,Sales,Sales Executive,Life Sciences,Divorced,Travel_Rarely,6744.0,1,0,1.0,No,1,1.0,3,1,3,Yes
58,53,Male,Research & Development,Manufacturing Director,Other,Married,Travel_Rarely,9252.0,10,7,12.0,No,4,1.0,4,4,1,No
59,27,Female,Sales,Sales Representative,Life Sciences,Divorced,Travel_Rarely,5697.0,7,5,5.0,No,4,2.0,4,4,0,No
60,25,Female,Research & Development,Research Scientist,Marketing,Married,Travel_Rarely,2424.0,7,2,16.0,No,3,3.0,3,4,4,No
61,39,Male,Research & Development,Laboratory Technician,Technical Degree,Single,Travel_Frequently,5929.0,3,1,16.0,No,3,3.0,3,1,3,No
62,31,Male,Sales,Sales Representative,Technical Degree,Single,Non-Travel,1000.0,5,2,4.0,No,4,2.0,3,2,6,No
63,31,Male,Sales,Manager,Marketing,Married,Travel_Rarely,4621.0,0,0,7.0,No,3,3.0,3,0,3,Yes
64,42,Male,Sales,Sales Representative,Human Resources,Married,Travel_Rarely,5363.0,17,6,8.0,No,4,2.0,3,7,5,No
65,46,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,6666.0,7,4,10.0,No,3,2.0,3,5,1,No
66,18,Female,Research & Development,Research Scientist,Technical Degree,Married,Travel_Rarely,12689.0,0,0,1.0,No,4,3.0,3,4,2,No
67,34,Male,Human Resources,Human Resources,Other,Married,Travel_Rarely,16404.0,11,3,24.0,No,3,2.0,3,1,6,Yes
68,39,Male,Sales,Manager,Other,Divorced,Travel_Frequently,8031.0,1,0,12.0,Yes,4,3.0,2,3,0,Yes
69,43,Male,Research & Development,Laboratory Technician,Technical Degree,Divorced,Travel_Rarely,6661.0,7,4,2.0,No,4,4.0,3,3,1,Yes
70,42,Female,Research & Development,Research Director,Human Resources,Single,Non-Travel,2485.0,1,0,1.0,Yes,2,3.0,3,3,3,Yes
71,47,Female,Sales,Manager,Technical Degree,Married,Travel_Rarely,1369.0,2,1,8.0,Yes,3,3.0,3,2,1,Yes
72,28,Male,Sales,Sales Representative,Life Sciences,Married,Travel_Rarely,9152.0,3,1,4.0,No,2,3.0,3,3,6,Yes
73,29,Female,Sales,Manager,Life Sciences,Divorced,Travel_Frequently,1840.0,0,0,6.0,No,3,3.0,3,5,3,Yes
74,43,Male,Sales,Sales Executive,Human Resources,Married,Travel_Frequently,7520.0,4,2,3.0,No,1,4.0,3,4,2,No
75,43,Male,Research & Development,Laboratory Technician,Human Resources,Single,Travel_Rarely,4893.0,0,0,7.0,No,3,3.0,3,2,3,No
76,30,Male,Sales,Manager,Other,Married,Non-Travel,4048.0,1,0,8.0,No,4,3.0,3,3,3,No
77,23,Male,Sales,Manager,Medical,Married,Travel_Rarely,10865.0,5,3,1.0,Yes,1,3.0,3,3,2,Yes
78,41,Male,Research & Development,Research Scientist,Technical Degree,Married,Travel_Rarely,8283.0,8,2,2.0,No,2,3.0,3,3,3,Yes
79,35,Female,Research & Development,Research Scientist,Medical,Single,Non-Travel,6829.0,0,0,3.0,No,4,4.0,4,3,1,No
80,35,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,8489.0,16,10,18.0,No,1,3.0,2,4,0,No
81,32,Male,Research & Development,Research Scientist,Marketing,Married,Travel_Rarely,5788.0,13,10,5.0,Yes,4,3.0,3,3,4,No
82,40,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Frequently,5420.0,8,3,5.0,No,4,3.0,3,3,4,No
83,39,Male,Research & Development,Laboratory Technician,Marketing,Married,Travel_Frequently,2498.0,6,4,1.0,No,4,3.0,1,1,3,No
84,52,Female,Sales,Manager,Medical,Married,Travel_Rarely,6601.0,10,7,3.0,No,4,1.0,3,2,3,No
85,28,Female,Research & Development,Manufacturing Director,Technical Degree,Married,Travel_Frequently,8600.0,5,4,30.0,Yes,4,3.0,3,2,1,No
86,25,Female,Research & Development,Research Director,Marketing,Married,Travel_Frequently,7194.0,5,4,11.0,No,4,2.0,3,3,4,Yes
87,38,Male,Research & Development,Laboratory Technician,Technical Degree,Single,Non-Travel,8261.0,4,1,18.0,No,4,1.0,2,1,3,Yes
88,45,Female,Research & Development,Laboratory Technician,Marketing,Divorced,Travel_Rarely,3988.0,2,1,1.0,No,1,1.0,4,1,3,Yes
89,36,Male,Research & Development,Research Director,Other,Married,Travel_Rarely,16404.0,18,7,10.0,Yes,2,2.0,4,2,2,No
90,39,Female,Research & Development,Research Scientist,Marketing,Married,Non-Travel,12102.0,4,1,15.0,No,1,3.0,3,2,3,Yes
91,47,Male,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,4260.0,3,1,16.0,No,4,2.0,3,2,1,No
92,35,Male,Research & Development,Laboratory Technician,Marketing,Married,Travel_Frequently,3579.0,1,0,1.0,No,4,2.0,3,3,2,No
93,28,Female,Research & Development,Manufacturing Director,Life Sciences,Single,Non-Travel,8282.0,2,1,1.0,No,4,3.0,4,4,3,No
94,40,Female,Research & Development,Manufacturing Director,Human Resources,Married,Travel_Frequently,6666.0,8,5,9.0,No,3,4.0,3,3,3,No
95,23,Male,Research & Development,Manufacturing Director,Marketing,Married,Travel_Rarely,11603.0,5,3,30.0,No,1,3.0,3,1,2,Yes
96,50,Male,Sales,Sales Executive,Other,Divorced,Travel_Rarely,6345.0,11,5,13.0,Yes,4,3.0,4,0,2,No
97,35,Male,Sales,Sales Executive,Life Sciences,Single,Non-Travel,9325.0,9,4,19.0,No,4,3.0,4,3,3,Yes
98,43,Male,Research & Development,Manufacturing Director,Human Resources,Single,Travel_Frequently,3999.0,4,1,16.0,No,2,2.0,4,3,3,Yes
99,26,Female,Sales,Sales Executive,Marketing,Married,Travel_Rarely,6415.0,2,0,1.0,No,3,3.0,3,2,3,Yes
100,37,Male,Sales,Sales Executive,Marketing,Divorced,Travel_Rarely,6506.0,11,5,5.0,No,3,3.0,3,3,1,No
101,40,Male,Sales,Sales Representative,Life Sciences,Divorced,Travel_Rarely,6168.0,2,0,7.0,Yes,2,3.0,4,3,2,No
102,38,Male,Sales,Sales Representative,Medical,Married,Travel_Rarely,5098.0,5,1,3.0,No,3,2.0,3,1,1,No
103,34,Female,Sales,Sales Representative,Life Sciences,Single,Travel_Rarely,6139.0,5,4,6.0,No,4,4.0,3,2,4,No
104,46,Female,Sales,Sales Executive,Technical Degree,Single,Travel_Rarely,4452.0,2,1,13.0,No,4,3.0,3,4,2,No
105,24,Male,Research & Development,Laboratory Technician,Marketing,Married,Travel_Rarely,10746.0,0,0,2.0,No,3,3.0,3,3,1,Yes
106,34,Male,Human Resources,Human Resources,Life Sciences,Married,Travel_Rarely,12245.0,1,0,1.0,No,2,4.0,3,5,2,No
107,29,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,4327.0,0,0,2.0,No,3,2.0,3,1,6,No
108,39,Female,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,8586.0,3,2,1.0,No,1,3.0,3,3,5,No
109,47,Female,Research & Development,Research Scientist,Other,Married,Travel_Rarely,6370.0,7,4,24.0,Yes,1,4.0,3,2,5,Yes
110,47,Female,Sales,Sales Representative,Human Resources,Married,Travel_Rarely,3912.0,3,2,30.0,Yes,4,1.0,1,0,2,No
111,34,Female,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,4346.0,6,2,9.0,Yes,2,3.0,3,2,2,Yes
112,27,Male,Sales,Sales Executive,Other,Married,Travel_Frequently,10077.0,9,5,2.0,Yes,2,1.0,3,3,3,Yes
113,44,Male,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,9658.0,8,5,5.0,Yes,4,2.0,3,1,1,No
114,34,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,8393.0,9,2,2.0,No,2,2.0,3,2,6,No
115,41,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,4392.0,5,4,5.0,No,4,2.0,2,2,4,No
116,39,Male,Sales,Sales Executive,Other,Single,Travel_Frequently,7701.0,1,0,5.0,No,2,3.0,3,1,4,Yes
117,39,Male,Sales,Sales Representative,Human Resources,Married,Travel_Frequently,11679.0,0,0,2.0,No,4,3.0,4,0,3,No
118,33,Male,Sales,Manager,Marketing,Divorced,Travel_Rarely,6673.0,9,6,1.0,No,3,2.0,3,3,6,Yes
119,39,Male,Sales,Manager,Human Resources,Divorced,Travel_Rarely,7624.0,4,2,1.0,No,3,4.0,3,5,5,No
120,35,Male,Sales,Sales Executive,Life Sciences,Married,Non-Travel,8857.0,6,4,1.0,No,4,4.0,3,1,3,No
121,35,Male,Research & Development,Laboratory Technician,Human Resources,Married,Travel_Rarely,2500.0,4,3,5.0,No,4,2.0,4,3,5,No
122,41,Male,Human Resources,HR Manager,Technical Degree,Single,Travel_Rarely,9457.0,2,1,4.0,No,4,3.0,4,2,8,No
123,31,Male,Research & Development,Research Director,Marketing,Divorced,Travel_Rarely,9312.0,1,0,18.0,Yes,4,2.0,4,4,1,Yes
124,49,Male,Sales,Sales Executive,Human Resources,Married,Travel_Rarely,2293.0,1,0,20.0,Yes,3,2.0,2,0,2,Yes
125,28,Female,Sales,Manager,Life Sciences,Married,Travel_Rarely,3343.0,10,9,17.0,No,4,3.0,3,2,2,Yes
126,32,Female,Sales,Manager,Life Sciences,Single,Travel_Rarely,10602.0,5,4,8.0,Yes,4,3.0,3,1,2,Yes
127,27,Male,Sales,Sales Executive,Marketing,Divorced,Travel_Rarely,3878.0,0,0,27.0,Yes,4,3.0,3,2,3,No
128,31,Female,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,7750.0,3,2,1.0,No,3,4.0,2,2,2,No
129,34,Female,Sales,Manager,Technical Degree,Married,Non-Travel,14583.0,12,9,10.0,No,2,4.0,3,4,5,Yes
130,37,Female,Research & Development,Laboratory Technician,Other,Married,Travel_Rarely,16404.0,6,4,6.0,No,2,3.0,2,6,4,No
131,21,Female,Sales,Sales Executive,Technical Degree,Divorced,Travel_Rarely,8080.0,1,0,7.0,No,4,3.0,2,3,1,Yes
132,33,Female,Research & Development,Research Director,Marketing,Married,Travel_Rarely,7560.0,1,0,4.0,No,1,3.0,3,2,4,No
133,37,Male,Research & Development,Laboratory Technician,Technical Degree,Single,Non-Travel,7885.0,0,0,24.0,No,1,3.0,3,2,5,Yes
134,35,Male,Research & Development,Research Scientist,Other,Married,Travel_Frequently,8068.0,4,3,9.0,No,1,3.0,3,4,3,No
135,52,Male,Research & Development,Research Director,Human Resources,Single,Travel_Frequently,4776.0,0,0,7.0,No,2,3.0,2,3,1,Yes
136,31,Male,Sales,Sales Executive,Technical Degree,Divorced,Travel_Frequently,9287.0,13,11,13.0,No,4,3.0,3,4,4,No
137,44,Male,Research & Development,Laboratory Technician,Other,Single,Travel_Rarely,3239.0,2,1,8.0,No,1,4.0,3,1,2,No
138,30,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,4776.0,0,0,5.0,No,4,4.0,3,1,2,No
139,35,Male,Sales,Manager,Human Resources,Married,Travel_Rarely,7947.0,2,1,22.0,No,1,3.0,3,3,5,No
140,38,Female,Research & Development,Manufacturing Director,Other,Single,Travel_Rarely,12606.0,0,0,1.0,Yes,4,2.0,3,1,3,Yes
141,22,Female,Human Resources,Human Resources,Medical,Married,Travel_Rarely,1000.0,3,2,9.0,Yes,3,3.0,4,2,2,No
142,34,Female,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,7374.0,7,2,5.0,No,3,3.0,3,0,6,No
143,35,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Frequently,5256.0,8,7,1.0,Yes,4,3.0,3,1,1,No
144,31,Male,Sales,Manager,Life Sciences,Single,Travel_Rarely,2636.0,2,0,3.0,No,4,3.0,3,0,3,No
145,43,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,10461.0,8,5,1.0,No,3,3.0,2,5,4,No
146,33,Female,Sales,Sales Executive,Technical Degree,Married,Travel_Rarely,3230.0,11,7,5.0,Yes,4,3.0,3,4,3,No
147,41,Male,Sales,Sales Executive,Medical,Divorced,Travel_Rarely,9739.0,7,3,1.0,No,3,3.0,2,1,3,No
148,32,Male,Research & Development,Manufacturing Director,Technical Degree,Divorced,Travel_Frequently,9356.0,4,1,1.0,No,2,3.0,3,3,1,Yes
149,42,Male,Sales,Sales Executive,Marketing,Divorced,Travel_Rarely,12201.0,7,2,14.0,No,3,3.0,4,5,2,No
150,47,Male,Human Resources,HR Manager,Marketing,Married,Travel_Rarely,6885.0,3,2,5.0,No,4,3.0,4,2,0,No
151,24,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,5137.0,0,0,4.0,No,1,3.0,2,1,8,Yes
152,38,Male,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,7306.0,10,9,8.0,Yes,4,4.0,3,4,5,No
153,35,Male,Research & Development,Research Scientist,Other,Single,Travel_Frequently,3886.0,0,0,2.0,No,2,2.0,2,4,3,Yes
154,44,Female,Sales,Sales Executive,Medical,Married,Travel_Rarely,11751.0,0,0,12.0,No,2,1.0,3,5,2,Yes
155,50,Female,Research & Development,Manufacturing Director,Other,Divorced,Travel_Frequently,9852.0,14,4,5.0,No,4,3.0,3,1,3,No
156,56,Male,Research & Development,Research Director,Human Resources,Married,Travel_Rarely,6093.0,1,0,3.0,No,1,3.0,3,1,2,No
157,30,Female,Sales,Sales Representative,Medical,Divorced,Travel_Rarely,6293.0,4,3,12.0,Yes,4,2.0,3,2,0,Yes
158,31,Male,Research & Development,Manufacturing Director,Other,Divorced,Travel_Rarely,3402.0,1,0,23.0,No,4,3.0,3,0,7,Yes
159,43,Male,Sales,Manager,Life Sciences,Married,Travel_Frequently,7703.0,3,1,1.0,Yes,3,3.0,3,1,2,No
160,32,Male,Research & Development,Manufacturing Director,Marketing,Married,Travel_Rarely,11800.0,6,2,11.0,Yes,4,3.0,4,1,0,No
161,47,Male,Sales,Manager,Other,Single,Travel_Rarely,13209.0,5,2,2.0,No,3,3.0,3,4,3,No
162,24,Male,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,5739.0,0,0,9.0,Yes,2,3.0,4,1,0,No
163,46,Male,Research & Development,Laboratory Technician,Human Resources,Married,Travel_Rarely,6250.0,1,0,15.0,No,4,2.0,3,1,5,Yes
164,47,Male,Research & Development,Laboratory Technician,Human Resources,Single,Non-Travel,13177.0,2,1,1.0,Yes,1,3.0,2,4,2,Yes
165,38,Male,Research & Development,Research Scientist,Technical Degree,Single,Travel_Rarely,5021.0,6,1,8.0,No,1,2.0,3,4,3,No
166,20,Female,Research & Development,Research Scientist,Human Resources,Married,Travel_Rarely,10400.0,2,1,5.0,No,3,4.0,3,1,3,No
167,32,Male,Sales,Sales Representative,Marketing,Single,Travel_Rarely,7589.0,2,1,5.0,No,2,3.0,3,3,3,No
168,31,Male,Research & Development,Research Director,Other,Single,Travel_Rarely,1647.0,11,10,4.0,No,3,3.0,3,1,1,No
169,40,Male,Sales,Manager,Medical,Divorced,Travel_Rarely,7554.0,13,12,8.0,No,3,3.0,3,4,5,No
170,38,Female,Research & Development,Research Director,Other,Married,Travel_Rarely,11167.0,8,6,9.0,No,2,2.0,4,2,5,Yes
171,36,Female,Research & Development,Manufacturing Director,Life Sciences,Single,Non-Travel,1000.0,12,10,1.0,No,3,3.0,3,3,1,No
172,31,Male,Sales,Sales Representative,Marketing,Married,Travel_Rarely,7306.0,0,0,3.0,Yes,3,1.0,3,1,4,Yes
173,40,Male,Sales,Sales Executive,Technical Degree,Married,Travel_Rarely,8295.0,1,0,13.0,No,1,3.0,3,1,2,No
174,48,Male,Research & Development,Research Scientist,Human Resources,Married,Travel_Frequently,8646.0,7,2,1.0,Yes,3,3.0,3,0,0,No
175,27,Male,Sales,Manager,Medical,Married,Travel_Rarely,4166.0,2,0,8.0,No,4,4.0,3,2,2,No
176,46,Male,Research & Development,Manufacturing Director,Medical,Single,Travel_Rarely,7433.0,1,0,7.0,No,3,2.0,3,5,1,Yes
177,30,Female,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,10905.0,10,3,1.0,No,4,4.0,3,5,2,No
178,39,Female,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,4392.0,9,2,10.0,No,3,4.0,3,1,1,No
179,38,Female,Research & Development,Laboratory Technician,Life Sciences,Divorced,Travel_Frequently,6770.0,0,0,6.0,No,3,1.0,2,3,2,Yes
180,35,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,7384.0,0,0,1.0,No,3,3.0,1,4,1,No
181,33,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,7468.0,0,0,3.0,Yes,1,3.0,4,3,3,Yes
182,49,Female,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,1000.0,10,9,6.0,No,2,2.0,3,3,2,Yes
183,26,Male,Human Resources,Human Resources,Marketing,Divorced,Travel_Frequently,8073.0,0,0,4.0,No,4,2.0,2,2,2,Yes
184,54,Male,Sales,Sales Representative,Life Sciences,Divorced,Travel_Frequently,6581.0,1,0,7.0,No,4,3.0,3,3,4,No
185,34,Male,Research & Development,Research Director,Other,Married,Travel_Rarely,12367.0,2,1,2.0,Yes,3,4.0,3,0,2,No
186,35,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,10159.0,2,1,4.0,No,1,4.0,4,3,3,No
187,56,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,12166.0,10,7,3.0,No,3,1.0,3,3,2,No
188,57,Male,Sales,Sales Representative,Human Resources,Divorced,Travel_Rarely,6284.0,8,6,2.0,No,1,4.0,4,2,5,No
189,30,Male,Sales,Sales Executive,Other,Married,Travel_Rarely,5389.0,2,1,3.0,Yes,3,3.0,3,2,6,Yes
190,24,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Rarely,8868.0,4,2,5.0,Yes,3,3.0,3,2,2,No
191,46,Male,Human Resources,Human Resources,Life Sciences,Divorced,Travel_Rarely,5182.0,0,0,1.0,Yes,3,3.0,4,2,1,Yes
192,32,Male,Research & Development,Research Director,Technical Degree,Single,Non-Travel,5734.0,0,0,1.0,No,2,3.0,4,3,1,No
193,37,Male,Research & Development,Research Director,Other,Divorced,Travel_Rarely,9175.0,6,3,3.0,Yes,1,2.0,3,4,4,Yes
194,41,Female,Research & Development,Laboratory Technician,Other,Married,Travel_Rarely,4932.0,2,1,4.0,No,4,4.0,4,0,2,No
195,41,Male,Research & Development,Research Director,Technical Degree,Single,Travel_Rarely,12507.0,2,0,4.0,No,2,3.0,3,3,2,No
196,27,Female,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,11692.0,6,3,1.0,No,1,3.0,3,1,2,Yes
197,38,Male,Research & Development,Research Director,Other,Divorced,Travel_Rarely,2880.0,0,0,10.0,No,1,2.0,3,2,4,Yes
198,26,Male,Sales,Manager,Medical,Divorced,Non-Travel,1000.0,4,2,1.0,No,2,3.0,3,2,4,No
199,38,Male,Research & Development,Research Director,Human Resources,Single,Travel_Frequently,8196.0,8,2,10.0,Yes,1,3.0,3,0,1,No
200,29,Male,Sales,Sales Executive,Other,Married,Travel_Rarely,10586.0,2,0,30.0,No,4,2.0,3,4,3,Yes
201,23,Male,Research & Development,Laboratory Technician,Other,Single,Travel_Rarely,4435.0,1,0,19.0,No,4,4.0,3,2,1,No
202,30,Male,Research & Development,Manufacturing Director,Human Resources,Single,Travel_Frequently,11389.0,12,4,15.0,No,1,3.0,3,1,1,No
203,33,Male,Research & Development,Research Director,Marketing,Divorced,Travel_Rarely,9972.0,7,6,30.0,No,1,3.0,3,4,1,No
204,50,Female,Research & Development,Manufacturing Director,Medical,Single,Travel_Frequently,8954.0,19,18,21.0,No,3,3.0,4,1,2,No
