delivery_id,date,rider_id,vehicle_type,zone,time_of_day,weather,traffic_condition,distance_km,shipment_weight_kg,order_volume_parcels,sla_minutes,delivery_time_min,delayed,fuel_cost_inr,delivery_cost_inr,customer_rating
DEL-10383,2026-05-01,RDR-052,E-Bike,Zone B - North,Night (21-2),Clear,Low,1.49,3.42,2,35,7.5,0,0.85,20.91,5.0
DEL-11389,2026-05-01,RDR-034,Motorbike,Zone D - East,Evening (16-21),Rain,Medium,2.72,0.67,2,40,15.7,0,6.45,36.93,4.8
DEL-10204,2026-05-01,RDR-003,Motorbike,Zone D - East,Evening (16-21),Clear,Low,6.96,2.6,2,40,20.2,0,17.23,44.42,5.0
DEL-11855,2026-05-02,RDR-006,Scooter,Zone A - Central,Afternoon (11-16),Cloudy,Medium,5.36,3.37,1,30,22.1,0,9.91,37.39,5.0
DEL-11646,2026-05-02,RDR-016,Scooter,Zone C - South,Evening (16-21),Clear,Medium,4.1,4.88,1,35,17.0,0,7.82,34.12,4.7
DEL-10849,2026-05-02,RDR-030,Motorbike,Zone B - North,Morning (6-11),Clear,Low,4.18,1.52,4,35,14.6,0,8.96,34.88,4.5
DEL-11371,2026-05-02,RDR-001,Scooter,Zone C - South,Morning (6-11),Clear,Medium,12.13,2.23,2,35,42.9,1,21.85,46.69,3.7
DEL-10461,2026-05-02,RDR-036,Motorbike,Zone E - West,Night (21-2),Clear,Medium,11.06,4.03,1,40,37.2,0,23.79,51.29,4.5
DEL-11465,2026-05-02,RDR-031,Scooter,Zone D - East,Night (21-2),Clear,Medium,1.59,0.82,2,40,10.8,0,3.07,24.06,4.9
DEL-10528,2026-05-02,RDR-001,Scooter,Zone A - Central,Evening (16-21),Clear,Medium,1.88,1.94,1,30,9.7,0,3.53,27.35,5.0
DEL-11810,2026-05-02,RDR-059,Motorbike,Zone D - East,Morning (6-11),Clear,Low,3.49,2.0,1,40,14.0,0,8.47,31.57,4.6
DEL-10649,2026-05-02,RDR-030,Motorbike,Zone B - North,Morning (6-11),Clear,High,2.14,0.88,1,35,18.6,0,4.65,26.52,5.0
DEL-11756,2026-05-02,RDR-033,E-Bike,Zone A - Central,Afternoon (11-16),Cloudy,Low,4.86,0.84,2,30,15.7,0,2.83,25.55,5.0
DEL-10110,2026-05-02,RDR-017,Scooter,Zone A - Central,Afternoon (11-16),Clear,High,5.27,2.53,1,30,29.0,0,10.14,36.41,5.0
DEL-10346,2026-05-02,RDR-007,Motorbike,Zone D - East,Evening (16-21),Cloudy,Low,2.29,3.08,1,40,14.6,0,5.33,31.05,5.0
DEL-11053,2026-05-02,RDR-039,Motorbike,Zone B - North,Afternoon (11-16),Clear,Medium,2.16,2.67,1,35,11.8,0,5.15,27.19,4.7
DEL-10342,2026-05-02,RDR-039,Scooter,Zone A - Central,Morning (6-11),Cloudy,Medium,6.89,0.52,2,30,26.4,0,12.02,39.29,5.0
DEL-10066,2026-05-03,RDR-019,Scooter,Zone A - Central,Afternoon (11-16),Clear,Medium,0.99,1.15,2,30,5.4,0,1.78,28.86,5.0
DEL-10723,2026-05-03,RDR-002,Motorbike,Zone B - North,Afternoon (11-16),Clear,Medium,4.49,0.75,1,35,18.8,0,10.7,35.23,4.8
DEL-11327,2026-05-03,RDR-028,Motorbike,Zone C - South,Morning (6-11),Clear,Medium,1.59,1.61,1,35,11.7,0,3.88,29.52,4.8
DEL-10735,2026-05-03,RDR-021,E-Bike,Zone D - East,Night (21-2),Clear,Medium,2.9,2.73,1,40,12.8,0,1.8,30.28,4.5
DEL-10559,2026-05-03,RDR-002,Motorbike,Zone C - South,Evening (16-21),Rain,High,1.98,1.31,1,35,18.2,0,4.76,30.04,4.8
DEL-11278,2026-05-03,RDR-029,Scooter,Zone B - North,Morning (6-11),Rain,High,1.41,2.11,2,35,11.8,0,2.53,25.57,4.3
DEL-10035,2026-05-03,RDR-053,E-Bike,Zone B - North,Morning (6-11),Rain,Low,1.43,1.4,4,35,8.9,0,0.8,29.69,4.6
DEL-11380,2026-05-03,RDR-027,Scooter,Zone B - North,Morning (6-11),Clear,Medium,12.89,2.38,2,35,47.4,1,25.08,47.39,3.1
DEL-11581,2026-05-03,RDR-016,Scooter,Zone E - West,Evening (16-21),Clear,Medium,3.97,3.82,2,40,23.9,0,7.59,32.6,5.0
DEL-10230,2026-05-03,RDR-016,Motorbike,Zone D - East,Morning (6-11),Cloudy,Medium,3.45,2.27,1,40,18.6,0,7.42,26.71,5.0
DEL-11555,2026-05-03,RDR-018,Scooter,Zone C - South,Evening (16-21),Cloudy,Medium,0.98,5.48,1,35,8.1,0,1.91,24.8,5.0
DEL-10376,2026-05-03,RDR-023,E-Bike,Zone B - North,Morning (6-11),Clear,Medium,3.61,1.16,1,35,16.1,0,2.27,26.4,5.0
DEL-11995,2026-05-03,RDR-040,Motorbike,Zone B - North,Night (21-2),Cloudy,Low,4.79,5.43,1,35,19.6,0,10.67,40.68,5.0
DEL-10882,2026-05-03,RDR-037,Scooter,Zone A - Central,Morning (6-11),Cloudy,Medium,1.33,1.52,1,30,9.7,0,2.17,25.25,4.7
DEL-10785,2026-05-03,RDR-013,E-Bike,Zone A - Central,Afternoon (11-16),Clear,High,2.42,1.68,1,30,17.4,0,1.59,31.7,5.0
DEL-10433,2026-05-03,RDR-001,Scooter,Zone B - North,Night (21-2),Rain,Medium,8.58,1.31,2,35,41.0,1,15.42,40.45,3.3
DEL-10871,2026-05-03,RDR-046,Scooter,Zone E - West,Morning (6-11),Clear,Low,1.27,3.4,2,40,13.8,0,2.23,29.46,4.9
DEL-11653,2026-05-03,RDR-012,Scooter,Zone A - Central,Afternoon (11-16),Clear,High,1.86,2.0,1,30,13.6,0,3.31,25.02,5.0
DEL-11442,2026-05-03,RDR-021,Motorbike,Zone A - Central,Afternoon (11-16),Clear,Low,10.95,0.3,2,30,25.6,0,23.06,47.98,5.0
DEL-10102,2026-05-03,RDR-036,Scooter,Zone A - Central,Afternoon (11-16),Clear,Medium,2.18,2.62,3,30,7.3,0,3.97,23.44,5.0
DEL-11413,2026-05-03,RDR-040,Scooter,Zone B - North,Morning (6-11),Clear,High,3.74,2.87,1,35,16.7,0,6.89,29.26,5.0
DEL-11408,2026-05-03,RDR-042,Motorbike,Zone A - Central,Morning (6-11),Clear,Low,8.42,0.91,1,30,25.3,0,19.65,50.6,4.7
DEL-10519,2026-05-03,RDR-041,Scooter,Zone D - East,Evening (16-21),Clear,Low,3.9,0.87,2,40,20.6,0,7.41,26.15,4.8
DEL-10486,2026-05-03,RDR-056,Scooter,Zone C - South,Morning (6-11),Clear,High,6.05,2.97,1,35,34.6,0,10.62,33.02,5.0
DEL-11198,2026-05-03,RDR-047,Motorbike,Zone A - Central,Evening (16-21),Clear,High,2.35,0.46,1,30,18.7,0,5.05,31.87,4.6
DEL-11200,2026-05-04,RDR-037,Motorbike,Zone C - South,Night (21-2),Clear,Medium,4.79,1.08,2,35,18.2,0,11.34,34.63,4.9
DEL-10720,2026-05-04,RDR-026,E-Bike,Zone E - West,Afternoon (11-16),Clear,High,2.36,2.79,2,40,22.4,0,1.43,29.53,4.6
DEL-10611,2026-05-04,RDR-014,Motorbike,Zone A - Central,Night (21-2),Clear,High,1.67,0.99,2,30,9.8,0,4.17,27.5,5.0
DEL-10766,2026-05-04,RDR-056,Motorbike,Zone C - South,Evening (16-21),Rain,High,3.18,1.78,1,35,24.3,0,7.81,33.63,5.0
DEL-11174,2026-05-04,RDR-036,Motorbike,Zone A - Central,Afternoon (11-16),Clear,Low,7.11,4.01,2,30,15.5,0,16.58,39.39,5.0
DEL-11150,2026-05-04,RDR-015,Motorbike,Zone C - South,Evening (16-21),Clear,High,3.46,1.64,1,35,16.4,0,7.41,29.23,5.0
DEL-11703,2026-05-04,RDR-019,Motorbike,Zone E - West,Evening (16-21),Clear,Medium,6.39,5.24,2,40,28.7,0,15.54,41.4,4.8
DEL-11062,2026-05-04,RDR-031,Motorbike,Zone C - South,Evening (16-21),Clear,Medium,3.2,1.48,3,35,10.6,0,6.95,27.55,5.0
DEL-11761,2026-05-04,RDR-020,E-Bike,Zone D - East,Morning (6-11),Rain,Low,3.6,0.69,1,40,21.1,0,2.08,28.09,4.5
DEL-11184,2026-05-04,RDR-024,Scooter,Zone C - South,Evening (16-21),Cloudy,Low,2.03,1.53,2,35,9.6,0,3.37,30.15,4.9
DEL-11721,2026-05-04,RDR-011,Scooter,Zone E - West,Afternoon (11-16),Clear,High,5.95,2.03,2,40,33.0,0,10.16,32.37,5.0
DEL-11970,2026-05-04,RDR-034,Scooter,Zone E - West,Morning (6-11),Cloudy,High,3.71,1.35,2,40,21.6,0,6.71,36.53,5.0
DEL-10922,2026-05-04,RDR-055,E-Bike,Zone D - East,Evening (16-21),Clear,Low,1.14,1.8,2,40,16.8,0,0.74,26.37,5.0
DEL-11236,2026-05-04,RDR-039,E-Bike,Zone A - Central,Morning (6-11),Cloudy,Medium,4.44,1.21,1,30,28.4,0,2.87,28.91,5.0
DEL-10992,2026-05-04,RDR-015,Scooter,Zone C - South,Afternoon (11-16),Clear,Low,3.86,0.45,1,35,14.7,0,7.35,31.09,5.0
DEL-11607,2026-05-04,RDR-050,E-Bike,Zone B - North,Afternoon (11-16),Rain,Medium,2.16,2.42,4,35,16.4,0,1.35,26.86,4.9
DEL-10187,2026-05-04,RDR-017,Motorbike,Zone D - East,Night (21-2),Clear,Low,4.65,2.68,1,40,16.2,0,10.57,36.94,5.0
DEL-11631,2026-05-04,RDR-017,Scooter,Zone A - Central,Evening (16-21),Clear,Medium,1.35,2.17,2,30,10.0,0,2.56,27.1,4.7
DEL-10431,2026-05-04,RDR-050,Motorbike,Zone D - East,Evening (16-21),Clear,High,4.98,5.91,2,40,23.6,0,10.75,41.77,4.9
DEL-10419,2026-05-04,RDR-037,Motorbike,Zone B - North,Morning (6-11),Clear,Medium,5.84,2.72,3,35,24.6,0,13.85,37.47,5.0
DEL-11332,2026-05-04,RDR-036,Scooter,Zone A - Central,Afternoon (11-16),Clear,High,4.27,1.03,1,30,24.9,0,8.42,27.37,5.0
DEL-10385,2026-05-04,RDR-042,E-Bike,Zone C - South,Afternoon (11-16),Clear,Medium,6.68,0.94,1,35,30.7,0,4.1,32.11,4.9
DEL-10963,2026-05-04,RDR-009,Scooter,Zone E - West,Morning (6-11),Cloudy,Medium,4.36,0.79,2,40,15.5,0,8.41,37.11,4.9
DEL-10343,2026-05-04,RDR-010,Scooter,Zone B - North,Afternoon (11-16),Cloudy,High,2.99,1.0,2,35,20.9,0,5.05,30.73,4.8
DEL-11306,2026-05-04,RDR-049,Motorbike,Zone B - North,Afternoon (11-16),Clear,High,5.78,2.89,2,35,24.9,0,14.21,39.77,5.0
DEL-10681,2026-05-04,RDR-040,Scooter,Zone E - West,Evening (16-21),Clear,Low,7.05,1.8,4,40,17.9,0,13.65,40.82,5.0
DEL-11871,2026-05-05,RDR-006,Scooter,Zone A - Central,Evening (16-21),Clear,Low,2.45,0.95,3,30,14.5,0,4.29,26.46,4.9
DEL-11996,2026-05-05,RDR-005,E-Bike,Zone B - North,Night (21-2),Clear,Low,7.51,1.47,1,35,24.1,0,4.53,31.34,5.0
DEL-11547,2026-05-05,RDR-031,Motorbike,Zone C - South,Morning (6-11),Clear,Low,2.0,1.66,4,35,4.6,0,4.45,33.26,5.0
DEL-10261,2026-05-05,RDR-024,E-Bike,Zone C - South,Morning (6-11),Rain,High,4.19,1.1,1,35,36.9,1,2.73,29.47,4.0
DEL-10499,2026-05-05,RDR-045,E-Bike,Zone B - North,Afternoon (11-16),Clear,High,2.32,0.72,1,35,14.1,0,1.34,28.97,5.0
DEL-11590,2026-05-05,RDR-052,Motorbike,Zone E - West,Evening (16-21),Clear,Low,6.26,3.56,1,40,23.7,0,13.07,39.82,5.0
DEL-10202,2026-05-05,RDR-041,Scooter,Zone B - North,Night (21-2),Clear,High,2.85,2.21,3,35,18.1,0,5.59,33.23,5.0
DEL-11788,2026-05-05,RDR-002,Scooter,Zone A - Central,Evening (16-21),Rain,Low,3.68,1.33,1,30,22.1,0,6.15,32.61,4.6
DEL-11623,2026-05-05,RDR-054,E-Bike,Zone E - West,Evening (16-21),Cloudy,Medium,7.01,5.13,1,40,36.5,0,3.86,30.24,5.0
DEL-10194,2026-05-05,RDR-023,Scooter,Zone A - Central,Afternoon (11-16),Clear,Medium,1.19,3.7,1,30,19.6,0,2.0,24.91,5.0
DEL-11798,2026-05-05,RDR-031,Scooter,Zone A - Central,Afternoon (11-16),Rain,Low,2.12,1.76,1,30,10.2,0,3.76,29.14,4.4
DEL-11350,2026-05-05,RDR-039,E-Bike,Zone A - Central,Morning (6-11),Cloudy,Medium,3.62,2.7,4,30,22.5,0,2.34,28.68,4.7
DEL-11026,2026-05-05,RDR-055,E-Bike,Zone E - West,Evening (16-21),Clear,Low,4.5,1.81,1,40,15.8,0,2.64,31.74,5.0
DEL-11333,2026-05-05,RDR-050,E-Bike,Zone A - Central,Evening (16-21),Clear,Medium,3.01,4.47,3,30,15.3,0,1.73,27.4,5.0
DEL-11803,2026-05-05,RDR-020,Scooter,Zone E - West,Evening (16-21),Cloudy,Medium,4.96,1.25,1,40,22.8,0,8.7,34.15,4.5
DEL-11641,2026-05-05,RDR-018,E-Bike,Zone E - West,Evening (16-21),Cloudy,Medium,3.57,1.34,3,40,20.0,0,2.19,25.32,4.9
DEL-11280,2026-05-05,RDR-020,Motorbike,Zone B - North,Afternoon (11-16),Rain,Medium,3.11,1.67,3,35,16.1,0,7.47,28.87,4.9
DEL-10698,2026-05-05,RDR-057,Scooter,Zone D - East,Afternoon (11-16),Clear,High,1.98,0.77,2,40,14.6,0,3.26,25.16,4.7
DEL-11944,2026-05-05,RDR-007,Motorbike,Zone A - Central,Afternoon (11-16),Rain,Medium,2.41,2.52,1,30,21.5,0,5.71,31.67,4.9
DEL-10551,2026-05-05,RDR-023,E-Bike,Zone A - Central,Morning (6-11),Clear,Medium,5.38,1.68,1,30,29.0,0,3.22,33.25,5.0
DEL-11747,2026-05-06,RDR-044,Scooter,Zone B - North,Afternoon (11-16),Rain,Medium,7.93,3.98,1,35,40.7,1,14.28,45.7,3.5
DEL-10788,2026-05-06,RDR-052,Motorbike,Zone E - West,Morning (6-11),Clear,High,1.28,0.35,2,40,8.9,0,2.82,21.09,5.0
DEL-11764,2026-05-06,RDR-008,Scooter,Zone C - South,Night (21-2),Rain,Medium,8.17,1.01,2,35,42.8,1,15.21,44.01,3.6
DEL-10719,2026-05-06,RDR-004,Motorbike,Zone A - Central,Afternoon (11-16),Rain,Low,4.47,1.55,4,30,16.5,0,11.22,41.88,4.6
DEL-10701,2026-05-06,RDR-036,Scooter,Zone E - West,Evening (16-21),Clear,Medium,5.08,0.94,1,40,21.9,0,8.75,30.48,4.9
DEL-10592,2026-05-06,RDR-021,Scooter,Zone C - South,Afternoon (11-16),Clear,Medium,4.21,1.73,2,35,18.5,0,7.57,41.14,5.0
DEL-10527,2026-05-06,RDR-021,Scooter,Zone E - West,Evening (16-21),Rain,High,1.77,2.98,1,40,17.8,0,3.5,27.85,4.6
DEL-11886,2026-05-06,RDR-015,Scooter,Zone E - West,Night (21-2),Clear,Low,5.16,2.76,2,40,20.4,0,8.38,31.84,5.0
DEL-10236,2026-05-06,RDR-013,Scooter,Zone E - West,Evening (16-21),Clear,Medium,4.24,2.24,1,40,11.7,0,7.38,26.31,4.8
DEL-11967,2026-05-06,RDR-052,Scooter,Zone A - Central,Morning (6-11),Clear,Low,11.87,2.29,1,30,29.6,0,22.77,51.03,4.7
DEL-10952,2026-05-06,RDR-023,Scooter,Zone D - East,Morning (6-11),Clear,Medium,2.42,0.97,2,40,9.0,0,4.07,27.77,5.0
DEL-11001,2026-05-06,RDR-035,Motorbike,Zone D - East,Evening (16-21),Clear,Low,8.71,5.43,1,40,29.0,0,21.03,47.78,5.0
DEL-10058,2026-05-06,RDR-057,Scooter,Zone C - South,Afternoon (11-16),Rain,High,8.29,1.89,1,35,57.9,1,15.38,43.01,3.5
DEL-10061,2026-05-06,RDR-002,Scooter,Zone C - South,Afternoon (11-16),Clear,Medium,1.23,4.26,2,35,12.3,0,2.24,22.28,4.6
DEL-11474,2026-05-06,RDR-020,Scooter,Zone E - West,Night (21-2),Clear,Medium,1.18,5.4,1,40,18.8,0,1.99,28.07,4.8
DEL-11706,2026-05-06,RDR-041,Motorbike,Zone D - East,Morning (6-11),Rain,Medium,3.34,2.06,2,40,18.1,0,8.13,28.46,5.0
DEL-10105,2026-05-06,RDR-045,Scooter,Zone B - North,Evening (16-21),Cloudy,Low,4.34,1.75,1,35,19.7,0,7.48,34.37,5.0
DEL-10106,2026-05-06,RDR-048,Scooter,Zone E - West,Morning (6-11),Rain,Medium,2.48,1.52,1,40,18.9,0,4.46,26.05,4.7
DEL-11520,2026-05-06,RDR-010,Scooter,Zone A - Central,Afternoon (11-16),Cloudy,Medium,9.72,3.13,1,30,38.8,1,18.0,46.15,3.1
DEL-11124,2026-05-06,RDR-004,Motorbike,Zone D - East,Afternoon (11-16),Rain,Medium,3.81,3.52,1,40,22.5,0,9.38,26.71,4.9
DEL-11339,2026-05-06,RDR-005,Scooter,Zone C - South,Afternoon (11-16),Clear,Medium,6.62,3.16,2,35,28.7,0,11.11,36.07,4.8
DEL-11379,2026-05-06,RDR-028,Motorbike,Zone D - East,Afternoon (11-16),Clear,Low,3.6,1.28,2,40,13.9,0,8.79,34.64,4.9
DEL-11626,2026-05-06,RDR-015,Scooter,Zone A - Central,Evening (16-21),Clear,High,4.4,3.74,1,30,22.8,0,8.1,27.59,4.4
DEL-11445,2026-05-06,RDR-040,Scooter,Zone C - South,Morning (6-11),Clear,Medium,3.39,2.77,1,35,13.3,0,6.68,30.75,5.0
DEL-10096,2026-05-06,RDR-051,Motorbike,Zone C - South,Morning (6-11),Clear,Low,2.25,0.7,1,35,5.0,0,5.51,25.07,5.0
DEL-10258,2026-05-06,RDR-046,Motorbike,Zone B - North,Evening (16-21),Clear,High,2.96,2.88,3,35,19.8,0,6.39,31.22,5.0
DEL-10090,2026-05-06,RDR-051,Scooter,Zone D - East,Night (21-2),Cloudy,Medium,3.75,3.53,2,40,15.4,0,6.44,26.75,5.0
DEL-10501,2026-05-07,RDR-011,Motorbike,Zone D - East,Afternoon (11-16),Clear,Low,6.94,1.89,1,40,16.0,0,17.28,44.54,4.8
DEL-11650,2026-05-07,RDR-016,Scooter,Zone D - East,Afternoon (11-16),Cloudy,Low,1.18,2.53,1,40,9.8,0,2.25,27.34,5.0
DEL-11252,2026-05-07,RDR-026,Scooter,Zone C - South,Afternoon (11-16),Cloudy,Low,2.85,3.12,2,35,16.9,0,4.64,29.55,5.0
DEL-11510,2026-05-07,RDR-046,E-Bike,Zone B - North,Evening (16-21),Clear,High,1.09,3.6,2,35,11.4,0,0.65,21.99,4.8
DEL-10127,2026-05-07,RDR-020,E-Bike,Zone A - Central,Night (21-2),Rain,Medium,1.99,2.72,1,30,16.8,0,1.12,33.36,4.6
DEL-11330,2026-05-07,RDR-004,Motorbike,Zone C - South,Evening (16-21),Clear,Low,1.43,4.07,2,35,8.1,0,3.3,33.23,4.9
DEL-11201,2026-05-07,RDR-016,Scooter,Zone C - South,Afternoon (11-16),Rain,Low,6.78,0.43,2,35,29.7,0,12.97,41.46,4.8
DEL-11338,2026-05-07,RDR-048,Scooter,Zone C - South,Afternoon (11-16),Rain,Medium,4.05,0.87,1,35,19.1,0,7.26,32.17,5.0
DEL-11461,2026-05-07,RDR-048,Motorbike,Zone A - Central,Morning (6-11),Clear,Medium,4.8,5.4,1,30,18.5,0,11.55,38.85,5.0
DEL-11401,2026-05-07,RDR-051,Scooter,Zone A - Central,Afternoon (11-16),Rain,Medium,4.95,3.55,1,30,34.6,1,8.22,33.97,3.9
DEL-10515,2026-05-07,RDR-019,Scooter,Zone E - West,Afternoon (11-16),Clear,Low,9.51,0.73,1,40,33.0,0,16.44,41.56,4.8
DEL-11444,2026-05-07,RDR-041,E-Bike,Zone E - West,Afternoon (11-16),Clear,Medium,3.87,2.49,1,40,20.5,0,2.51,26.23,4.6
DEL-11827,2026-05-07,RDR-032,E-Bike,Zone C - South,Evening (16-21),Clear,Medium,1.54,2.17,1,35,4.8,0,0.91,26.18,4.9
DEL-10338,2026-05-07,RDR-040,Motorbike,Zone A - Central,Afternoon (11-16),Clear,Medium,5.87,1.03,1,30,23.8,0,13.96,42.45,4.9
DEL-10039,2026-05-07,RDR-010,Scooter,Zone A - Central,Night (21-2),Clear,High,1.16,0.45,2,30,6.8,0,2.26,26.29,4.6
DEL-11177,2026-05-07,RDR-025,Scooter,Zone E - West,Evening (16-21),Clear,High,3.03,0.8,2,40,18.9,0,5.07,25.5,5.0
DEL-10749,2026-05-07,RDR-044,Motorbike,Zone C - South,Morning (6-11),Cloudy,Medium,9.13,6.89,1,35,29.0,0,23.09,57.26,5.0
DEL-11580,2026-05-07,RDR-046,Scooter,Zone C - South,Afternoon (11-16),Clear,Medium,1.67,1.11,2,35,10.0,0,3.18,28.45,5.0
DEL-11106,2026-05-07,RDR-008,Scooter,Zone D - East,Morning (6-11),Clear,Low,3.92,1.53,2,40,15.6,0,7.48,32.07,5.0
DEL-11567,2026-05-07,RDR-059,Scooter,Zone D - East,Night (21-2),Cloudy,Low,3.06,1.26,2,40,18.0,0,5.59,29.63,5.0
DEL-11698,2026-05-07,RDR-010,E-Bike,Zone E - West,Evening (16-21),Rain,Medium,2.42,1.76,2,40,18.3,0,1.4,27.25,5.0
DEL-11792,2026-05-07,RDR-059,Motorbike,Zone C - South,Morning (6-11),Rain,Medium,3.42,1.21,3,35,13.5,0,7.51,30.22,4.3
DEL-10311,2026-05-07,RDR-059,Scooter,Zone E - West,Afternoon (11-16),Rain,Medium,8.08,2.51,1,40,40.8,1,15.38,39.57,3.8
DEL-11566,2026-05-07,RDR-041,Motorbike,Zone C - South,Evening (16-21),Cloudy,High,5.65,1.45,1,35,26.8,0,12.42,32.52,5.0
DEL-10442,2026-05-08,RDR-059,Scooter,Zone D - East,Evening (16-21),Clear,Medium,3.85,3.5,1,40,18.4,0,6.93,27.82,4.9
DEL-11075,2026-05-08,RDR-009,Scooter,Zone E - West,Evening (16-21),Clear,Low,5.25,1.6,3,40,17.2,0,9.44,33.26,4.4
DEL-10286,2026-05-08,RDR-053,Motorbike,Zone E - West,Afternoon (11-16),Rain,High,0.93,1.99,3,40,13.4,0,2.02,25.99,4.4
DEL-11113,2026-05-08,RDR-042,Motorbike,Zone A - Central,Afternoon (11-16),Cloudy,Low,1.58,0.52,2,30,7.6,0,3.55,27.04,4.6
DEL-10834,2026-05-08,RDR-059,Motorbike,Zone B - North,Night (21-2),Clear,High,2.57,2.43,1,35,16.5,0,6.48,28.76,5.0
DEL-11860,2026-05-08,RDR-030,Motorbike,Zone D - East,Evening (16-21),Clear,Low,2.16,1.31,2,40,12.6,0,4.95,27.32,5.0
DEL-10048,2026-05-08,RDR-034,Motorbike,Zone C - South,Night (21-2),Rain,High,5.45,2.17,3,35,36.5,1,11.34,36.62,3.4
DEL-10283,2026-05-08,RDR-018,Scooter,Zone A - Central,Afternoon (11-16),Clear,Medium,1.98,4.09,4,30,9.1,0,3.91,35.3,4.8
